Email Address,First Name,Last Name,Company,Phone,Address,City,State,Country,Website,Tags,Source,Notes,Priority
,,,AFC Vacations,,6450 Lusk Blvd Suite E-210,San Diego,CA,US,https://www.afcvacations.com/,"international-agent,ustoa,asia-specialist,group",ustoa-directory,Asia specialist group,medium
,,,Premier World Discovery,,1650 S Pacific Coast Highway Suite 202,Redondo Beach,CA,US,https://www.premierworlddiscovery.com/,"international-agent,ustoa,group",ustoa-directory,World discovery groups,low
,,,Gate 1 Travel,,455 Maryland Drive,Fort Washington,PA,US,https://www.gate1travel.com/,"international-agent,ustoa,group,value",ustoa-directory,Asia itineraries possible,medium
,,,Globus,,4695 South Monaco Street Suite 200,Denver,CO,US,https://www.globusjourneys.com/,"international-agent,ustoa,group,mainstream",ustoa-directory,Globus Family of Brands,low
,,,Cosmos,,5301 South Federal Circle,Littleton,CO,US,https://www.cosmos.com/,"international-agent,ustoa,group,value",ustoa-directory,Value escorted tours,low
,,,Avalon Waterways,,5301 South Federal Circle,Littleton,CO,US,https://www.avalonwaterways.com/,"international-agent,ustoa,river-cruise",ustoa-directory,River cruise,low
,,,Collette,,162 Middle Street,Pawtucket,RI,US,https://www.gocollette.com/,"international-agent,ustoa,group",ustoa-directory,Escorted tours,low
,,,Tauck,,Wilton Woods 10 Westport Road,Wilton,CT,US,https://www.tauck.com/,"international-agent,ustoa,luxury,group",ustoa-directory,Luxury escorted,low
,,,Insight Vacations,,589 Fifth Avenue Suite 810,New York,NY,US,https://www.insightvacations.com/,"international-agent,ustoa,luxury,group",ustoa-directory,Travel Corporation brand,low
,,,Trafalgar,,3200 Bristol Street Suite 200,Costa Mesa,CA,US,https://www.trafalgar.com/,"international-agent,ustoa,group",ustoa-directory,Escorted tours,low
,,,Contiki,,3200 Bristol Street Suite 200,Costa Mesa,CA,US,https://www.contiki.com/,"international-agent,ustoa,group,youth",ustoa-directory,Youth travel,low
,,,Brendan Vacations,,3200 Bristol Street Suite 200,Costa Mesa,CA,US,https://www.brendanvacations.com/,"international-agent,ustoa,group",ustoa-directory,Ireland + more,low
,,,Luxury Gold,,589 Fifth Avenue Suite 810,New York,NY,US,https://www.luxurygold.com/,"international-agent,ustoa,luxury",ustoa-directory,Luxury Travel Corporation brand,low
,,,African Travel Inc,,330 N Brand Blvd Suite 225,Glendale,CA,US,https://www.africantravelinc.com/,"international-agent,ustoa,africa-specialist",ustoa-directory,Africa specialist,low
,,,Lion World Travel,,33 Kern Road,Toronto,ON,CA,https://www.lionworldtravel.com/,"international-agent,ustoa,africa-specialist",ustoa-directory,Africa specialist,low
,,,Enchanting Travels,,8400 E Prentice Ave Suite 1500,Greenwood Village,CO,US,https://www.enchantingtravels.com/,"international-agent,ustoa,luxury,asia-potential,fit",ustoa-directory,Tailor-made Asia; high Bhutan fit,high
,,,Exodus Adventure Travels,,3131 Elliott Ave Suite 250,Seattle,WA,US,https://www.exodus.co.uk/,"international-agent,ustoa,adventure,asia-potential",ustoa-directory,Adventure specialist,medium
,,,G Adventures,,,Toronto,ON,CA,https://www.gadventures.com/,"international-agent,ustoa,adventure,asia-potential",ustoa-directory,Small-group adventure,medium
,,,Intrepid Travel,,,Toronto,ON,CA,https://www.intrepidtravel.com/,"international-agent,ustoa,adventure,asia-potential",ustoa-directory,Adventure; Asia programmes,medium
,,,Overseas Adventure Travel,,347 Congress Street,Boston,MA,US,https://www.oattravel.com/,"international-agent,ustoa,adventure,group",ustoa-directory,OAT,medium
,,,Grand Circle Travel,,347 Congress Street,Boston,MA,US,https://www.gct.com/,"international-agent,ustoa,group,mature",ustoa-directory,Mature travellers,low
,,,Lindblad Expeditions,,11 W 42nd Street Suite 22 B3,New York,NY,US,https://www.expeditions.com/,"international-agent,ustoa,luxury,expedition",ustoa-directory,Expedition cruise,low
,,,Classic Journeys,,7855 Ivanhoe Ave Suite 220,La Jolla,CA,US,https://www.classicjourneys.com/,"international-agent,ustoa,luxury,walking",ustoa-directory,Walking journeys,low
,,,Backroads,,801 Cedar Street,Berkeley,CA,US,https://www.backroads.com/,"international-agent,ustoa,active,asia-potential",ustoa-directory,Active travel,medium
,,,Apple Vacations,,1515 N Rivercenter Drive Suite 250,Milwaukee,WI,US,https://www.applevacations.com/,"international-agent,ustoa,wholesale,beach",ustoa-directory,ALG Vacations brand,low
,,,Funjet Vacations,,1515 N Rivercenter Drive Suite 250,Milwaukee,WI,US,https://www.funjet.com/,"international-agent,ustoa,wholesale,beach",ustoa-directory,ALG Vacations brand,low
,,,Travel Impressions,,1515 N Rivercenter Drive Suite 250,Milwaukee,WI,US,https://www.travelimpressions.com/,"international-agent,ustoa,wholesale",ustoa-directory,ALG Vacations brand,low
,,,United Vacations,,1515 N Rivercenter Drive Suite 250,Milwaukee,WI,US,https://www.unitedvacations.com/,"international-agent,ustoa,airline-vacations",ustoa-directory,Airline packager,low
,,,Delta Vacations,,700 S Central Avenue First Floor,Atlanta,GA,US,https://www.deltavacations.com/,"international-agent,ustoa,airline-vacations",ustoa-directory,Airline packager,low
,,,Classic Vacations,,5893 Rue Ferrari,San Jose,CA,US,https://www.classicvacations.com/,"international-agent,ustoa,luxury,fit",ustoa-directory,Luxury FIT,medium
,,,Pleasant Holidays,,2404 Townsgate Road,Westlake Village,CA,US,https://www.pleasantholidays.com/,"international-agent,ustoa,hawaii,wholesale",ustoa-directory,Hawaii + more,low
,,,AAA Exclusive Vacations,,110 Royal Little Dr,Providence,RI,US,https://www.aaa.com/,"international-agent,ustoa,club,retail",ustoa-directory,AAA club vacations,low
,,,Homeric Tours,,55 East 59th Street 17th Floor,New York,NY,US,https://www.homerictours.com/,"international-agent,ustoa,mediterranean",ustoa-directory,Mediterranean focus,low
,,,Perillo Tours,,577 Chestnut Ridge Road,Woodcliff Lake,NJ,US,https://www.perillotours.com/,"international-agent,ustoa,italy",ustoa-directory,Italy specialist,low
,,,Celtic Tours Vacations,,1860 Western Avenue,Albany,NY,US,https://www.celtictours.com/,"international-agent,ustoa,ireland",ustoa-directory,Ireland focus,low
,,,CIE Tours,,10 North Park Place Suite 510,Morristown,NJ,US,https://www.cietours.com/,"international-agent,ustoa,ireland,uk",ustoa-directory,Ireland & UK,low
,,,AmaWaterways,,4500 Park Granada Suite 200,Calabasas,CA,US,https://www.amawaterways.com/,"international-agent,ustoa,river-cruise",ustoa-directory,River cruise,low
,,,Viking Cruises,,5700 Canoga Avenue Suite 200,Woodland Hills,CA,US,https://www.vikingcruises.com/,"international-agent,ustoa,river-cruise,ocean",ustoa-directory,Cruise line,low
,,,Windstar Cruises,,2104 4th Avenue Suite 210,Seattle,WA,US,https://www.windstarcruises.com/,"international-agent,ustoa,cruise",ustoa-directory,Small ship,low
,,,Hurtigruten,,22722 29th Drive SE Suite 100,Bothell,WA,US,https://www.hurtigruten.com/,"international-agent,ustoa,expedition",ustoa-directory,Expedition cruise,low
,,,TCS World Travel,,3131 Elliott Ave Suite 300,Seattle,WA,US,https://www.tcsworldtravel.com/,"international-agent,ustoa,luxury,private-jet",ustoa-directory,Private jet / luxury,low
,,,Quark Expeditions,,3131 Elliott Avenue Suite 250,Seattle,WA,US,https://www.quarkexpeditions.com/,"international-agent,ustoa,expedition",ustoa-directory,Polar expedition,low
,,,Railbookers,,75 State Street Suite 100,Boston,MA,US,https://www.railbookers.com/,"international-agent,ustoa,rail",ustoa-directory,Rail specialist,low
,,,Great Value Vacations,,486 Sunrise Highway Suite 200,Rockville Centre,NY,US,https://www.greatvaluevacations.com/,"international-agent,ustoa,value,group",ustoa-directory,Value packages,low
,,,AVANTGARDE VACATIONS,,3 West 35th Street 8th Floor,New York,NY,US,https://www.avantgardevacations.com/,"international-agent,ustoa,luxury",ustoa-directory,Luxury vacations,medium
,,,Sky Vacations,,450 West 31st Street Suite 9C,New York,NY,US,https://www.skyvacations.com/,"international-agent,ustoa,asia-potential",ustoa-directory,Check Asia inventory,medium
,,,Hotelbeds USA,,5728 Major Boulevard Suite 400,Orlando,FL,US,https://www.hotelbeds.com/,"international-agent,ustoa,bedbank,b2b",ustoa-directory,Use supplier portal not cold email,medium
,,,Flight Centre Travel Group USA,,5 Paragon Drive Suite 200,Montvale,NJ,US,https://www.flightcentre.com/,"international-agent,ustoa,retail-network",ustoa-directory,Retail network,medium
,,,Envoyage,,5 Paragon Drive Suite 200,Montvale,NJ,US,https://www.envoyage.com/,"international-agent,ustoa,host-agency",ustoa-directory,Independent advisor network,medium
,,,Scott Dunn,,420 N Cedros Ave Suite 102,Solana Beach,CA,US,https://www.scottdunn.com/,"international-agent,ustoa,luxury,fit",ustoa-directory,Luxury FIT,medium
,,,Exoticca Travel,,225 Asylum Street Floor 15,Hartford,CT,US,https://www.exoticca.com/,"international-agent,ustoa,d2c,package",ustoa-directory,D2C packages,low
,,,American Classic Tours,,1400 E Touhy Ave Suite 225,Des Plaines,IL,US,https://www.americanclassictours.com/,"international-agent,ustoa,group",ustoa-directory,Group tours,low
,,,AHI Travel,,8550 W Bryn Mawr Suite 600,Chicago,IL,US,https://www.ahitravel.com/,"international-agent,ustoa,group,affinity",ustoa-directory,Affinity groups,low
,,,EF Go Ahead Tours,,2 Education Circle,Cambridge,MA,US,https://www.ef.edu/,"international-agent,ustoa,education,group",ustoa-directory,Education + adult tours,low
,,,WorldStrides,,218 West Water Street Suite 400,Charlottesville,VA,US,https://www.worldstrides.com/,"international-agent,ustoa,education,group",ustoa-directory,Student travel,low
,,,Country Walkers,,426 Industrial Avenue Suite 120,Williston,VT,US,https://www.countrywalkers.com/,"international-agent,ustoa,walking",ustoa-directory,Walking tours,low
,,,Scenic Luxury Cruises & Tours,,4000 Hollywood Blvd Suite 645-S,Hollywood,FL,US,https://www.scenic.com.au/,"international-agent,ustoa,luxury,cruise",ustoa-directory,Scenic brand US,low
,,,Mayflower Cruises and Tours,,650 Warrenville Road Suite 500,Lisle,IL,US,https://www.mayflowercruisesandtours.com/,"international-agent,ustoa,group,mature",ustoa-directory,Mature market groups,low
,,,APT Luxury Travel,,6442 Platt Avenue Suite 164,West Hills,CA,US,https://www.aptouring.com/,"international-agent,ustoa,luxury,group",ustoa-directory,APT Travel Group,low
,,,ACIS,,330 Congress Street Suite 5,Boston,MA,US,https://www.acis.com/,"international-agent,ustoa,education",ustoa-directory,Educational tours,low
,,,Great Rail Journeys,,309 W Washington Street Suite 1100,Chicago,IL,US,https://www.greatrail.com/,"international-agent,ustoa,rail",ustoa-directory,Rail holidays,low
,,,Europe Express,,19009 33rd Ave W Suite 206,Lynnwood,WA,US,https://www.europeexpress.com/,"international-agent,ustoa,europe",ustoa-directory,Europe packages,low
,,,go-today.com,,3830 Monte Villa Parkway Suite 210,Bothell,WA,US,https://www.go-today.com/,"international-agent,ustoa,europe,value",ustoa-directory,Value Europe,low
,,,Discovery Tours by Gate 1,,455 Maryland Drive,Fort Washington,PA,US,https://www.gate1travel.com/,"international-agent,ustoa,group,value",ustoa-directory,Gate 1 discovery brand,medium
,,,National Geographic Expeditions,,215 Celebration Place,Celebration,FL,US,https://www.nationalgeographic.com/expeditions/,"international-agent,ustoa,expedition,asia-potential",ustoa-directory,Nat Geo Expeditions,medium
,,,Urban Adventures,,,Seattle,WA,US,https://www.urbanadventures.com/,"international-agent,ustoa,day-tours",ustoa-directory,Intrepid sister brand,low
,,,Audley Travel UK,,,,,UK,https://www.audleytravel.com/,"international-agent,uk,luxury,asia-specialist,fit",manual-priority,UK HQ same brand; high Bhutan fit,high
,,,Cox & Kings UK,,,,,UK,https://www.coxandkings.co.uk/,"international-agent,uk,luxury,asia-specialist,bhutan-potential",manual-priority,Historic Asia luxury brand; verify entity,high
,,,Trailfinders,,,,,UK,https://www.trailfinders.com/,"international-agent,uk,retail,fit",manual-priority,Large UK independent retailer,medium
,,,Kuoni UK,,,,,UK,https://www.kuoni.co.uk/,"international-agent,uk,luxury,package",manual-priority,Premium UK packager,medium
,,,Hays Travel,,,,,UK,https://www.haystravel.co.uk/,"international-agent,uk,retail",manual-priority,Large UK retail network,medium
,,,DERTOUR,,,,,DE,https://www.dertour.com/,"international-agent,europe,germany,package",manual-priority,REWE Group tour operator,medium
,,,Studiosus Reisen,,,,,DE,https://www.studiosus.com/,"international-agent,europe,germany,cultural,asia-potential",manual-priority,Cultural study tours,medium
,,,Voyageurs du Monde,,,,,FR,https://www.voyageursdumonde.fr/,"international-agent,europe,france,luxury,fit",manual-priority,French luxury FIT,medium
,,,Terres d'Aventure,,,,,FR,https://www.terresdaventure.com/,"international-agent,europe,france,adventure",manual-priority,French adventure,medium
,,,Hotelplan Suisse,,,,,CH,https://www.hotelplan.ch/,"international-agent,europe,switzerland",manual-priority,Swiss packager,low
,,,Wendy Wu Tours,,,,,AU,https://www.wendywutours.com.au/,"international-agent,australia,asia-specialist,group",manual-priority,Asia group specialist — high priority,high
,,,Flight Centre Australia,,,,,AU,https://www.flightcentre.com.au/,"international-agent,australia,retail-network",manual-priority,Major AU retail,medium
,,,Helloworld Travel,,,,,AU,https://www.helloworld.com.au/,"international-agent,australia,retail-network",manual-priority,AU retail network,medium
,,,TravelManagers Australia,,,,,AU,https://www.travelmanagers.com.au/,"international-agent,australia,host-agency",manual-priority,Home-based advisors,medium
,,,Adventure World Travel Australia,,,,,AU,https://www.adventureworld.com.au/,"international-agent,australia,wholesale,asia-potential",manual-priority,TTC wholesale AU,medium
,,,Intrepid Travel Australia,,,,,AU,https://www.intrepidtravel.com/,"international-agent,australia,adventure,asia-potential",manual-priority,Adventure HQ markets,medium
,,,House of Travel,,,,,NZ,https://www.houseoftravel.co.nz/,"international-agent,new-zealand,retail",manual-priority,NZ retail,low
,,,Chan Brothers Travel,,,,,SG,https://www.chanbrothers.com/,"international-agent,asia,singapore,retail,group",manual-priority,Major Singapore retail/group,high
,,,Nam Ho Travel,,,,,SG,https://www.namhotours.com.sg/,"international-agent,asia,singapore,retail",manual-priority,Singapore retail,medium
,,,Safrans Travel,,,,,SG,https://www.safranstravel.com/,"international-agent,asia,singapore,luxury",manual-priority,Singapore luxury,medium
,,,Commonwealth Travel,,,,,SG,https://www.commonwealthtravel.com.sg/,"international-agent,asia,singapore,corporate",manual-priority,Singapore corporate,medium
,,,Holiday Tours Malaysia,,,,,MY,https://www.holidaytours.com.my/,"international-agent,asia,malaysia,retail",manual-priority,Malaysia retail/package,medium
,,,Diethelm Travel,,,,,TH,https://www.diethelmtravel.com/,"international-agent,asia,thailand,dmc,b2b",manual-priority,Regional DMC partner channel,medium
,,,JALPAK,,,,,JP,https://www.jalpak.co.jp/,"international-agent,asia,japan,package",manual-priority,Japan outbound packager,medium
,,,H.I.S. Travel,,,,,JP,https://www.his-j.com/,"international-agent,asia,japan,retail",manual-priority,Japan retail chain,medium
,,,KNT-CT Holdings,,,,,JP,https://www.knt.co.jp/,"international-agent,asia,japan,package",manual-priority,Japan major operator,medium
,,,Hanatour,,,,,KR,https://www.hanatour.com/,"international-agent,asia,korea,package",manual-priority,Korea major outbound,medium
,,,Mode Tour,,,,,KR,https://www.modetour.com/,"international-agent,asia,korea,package",manual-priority,Korea outbound,medium
,,,dnata Travel,,,,,AE,https://www.dnata.com/,"international-agent,middle-east,uae,corporate",manual-priority,UAE major travel company,medium
,,,Arabian Adventures,,,,,AE,https://www.arabianadventures.com/,"international-agent,middle-east,uae,dmc",manual-priority,UAE DMC,low
,,,Flight Centre Canada,,,,,CA,https://www.flightcentre.ca/,"international-agent,canada,retail",manual-priority,Canada retail,medium
,,,Travel Only,,,,,CA,https://www.travelonly.com/,"international-agent,canada,host-agency",manual-priority,Canada host agency,medium
,,,Red Tag Vacations,,,,,CA,https://www.redtag.ca/,"international-agent,canada,package",manual-priority,Canada value packages,low
,,,Virtuoso,,,,,US,https://www.virtuoso.com/,"international-agent,us,luxury-network,advisors",manual-priority,Luxury advisor network — join as supplier,high
,,,Signature Travel Network,,,,,US,https://www.signaturetravelnetwork.com/,"international-agent,us,consortium",manual-priority,Advisor consortium — supplier programme,high
,,,Ensemble Travel Group,,,,,US,https://www.ensembletravel.com/,"international-agent,us,consortium",manual-priority,Advisor consortium,medium
,,,Travel Leaders / Vacation.com,,,,,US,https://www.vacation.com/,"international-agent,us,consortium",manual-priority,Large US network,medium
,,,Internova Travel Group,,,,,US,https://www.internova.com/,"international-agent,us,consortium",manual-priority,Parent of multiple consortia,medium
,,,TravelSavers,,,,,US,https://www.travelsavers.com/,"international-agent,us,consortium",manual-priority,US consortium,medium
,,,AAA Travel,,,,,US,https://www.aaa.com/travel,"international-agent,us,club,retail",manual-priority,Club agency network,medium
,,,American Express Travel,,,,,US,https://www.americanexpress.com/en-us/travel/,"international-agent,us,luxury,corporate",manual-priority,Fine Hotels & Resorts channel,medium
,,,Cruise Planners,,,,,US,https://www.cruiseplanners.com/,"international-agent,us,franchise,advisors",manual-priority,Franchise advisors,low
,,,Dream Vacations,,,,,US,https://www.dreamvacations.com/,"international-agent,us,franchise,advisors",manual-priority,Franchise advisors,low
,,,Kesari Tours Pvt. Ltd.,,,,,IN,https://www.kesari.in/,"international-agent,india,bhutan-package,national-brand",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,Veena World,,,,,IN,https://www.veenaworld.com/,"international-agent,india,bhutan-package,national-brand",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,Thomas Cook India,,,,,IN,https://www.thomascook.in/,"international-agent,india,bhutan-package,national-brand",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,SOTC,,,,,IN,https://www.sotc.in/,"international-agent,india,bhutan-package,national-brand",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,NatureWings Holidays Ltd.,,,,,IN,https://www.naturewings.com/,"international-agent,india,bhutan-package,specialist",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,Travel Corporation (India) Ltd. / TCI,,,,,IN,https://www.tci.co.in/,"international-agent,india,dmc,inbound",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,Yatra Partner Programme,,,,,IN,https://partner.yatra.com/,"international-agent,india,ota-partner",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,medium
,,,MakeMyTrip Partner,,,,,IN,https://partners.makemytrip.com/,"international-agent,india,ota",manual-priority,Hotel partner channel not cold email list,medium
,,,Cox & Kings India,,,,,IN,https://www.coxandkings.com/,"international-agent,india,luxury,asia",manual-priority,Verify current legal entity and trade contacts,high
,,,Tripwizard Solutions,,,,,IN,https://tripwizard.co.in/,"international-agent,india,bhutan-package,dmc,b2b",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,Travelers Hub,,,,,IN,https://www.travelershub.in/,"international-agent,india,bhutan-package,dmc,b2b",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
,,,Musafirana Tourism Services,,,,,IN,https://musafirana.com/,"international-agent,india,bhutan-package,b2b",see-india-seed,Public contacts in india-bhutan-agents-seed.csv,high
information@ustoa.com,,,United States Tour Operators Association,+1 212-599-6599,345 Seventh Avenue Suite 1801,New York,NY,US,https://ustoa.com/,"association,trade-body,not-agent",ustoa-directory,Trade association only — networking not hotel agents,low
